libro,termino,frecuencia,tf,df,idf,tf_idf
2 B R 0 2 B,wehling,22,0.022821576763485476,1,1.3862943611198906,0.03163742317908464
2 B R 0 2 B,hitz,21,0.021784232365145227,1,1.3862943611198906,0.030199358489126246
Keep Out,mars,9,0.019027484143763214,1,1.3862943611198906,0.026377693974797074
The Eyes Have It,julia,6,0.01507537688442211,1,1.3862943611198906,0.020898909966631515
Navy Day,army,13,0.014942528735632184,1,1.3862943611198906,0.020714743327078823
Keep Out,conditions,7,0.014799154334038054,1,1.3862943611198906,0.020515984202619943
Keep Out,martians,7,0.014799154334038054,1,1.3862943611198906,0.020515984202619943
Keep Out,dome,7,0.014799154334038054,1,1.3862943611198906,0.020515984202619943
2 B R 0 2 B,painter,14,0.014522821576763486,1,1.3862943611198906,0.0201329056594175
Navy Day,navy,12,0.013793103448275862,1,1.3862943611198906,0.019121301532688144
Keep Out,years,12,0.02536997885835095,2,0.6931471805599453,0.017585129316531382
2 B R 0 2 B,duncan,12,0.012448132780082987,1,1.3862943611198906,0.017256776279500712
2 B R 0 2 B,orderly,11,0.011410788381742738,1,1.3862943611198906,0.01581871158954232
The Eyes Have It,eyes,9,0.022613065326633167,2,0.6931471805599453,0.01567418247497364
Keep Out,gradually,5,0.010570824524312896,1,1.3862943611198906,0.014654274430442819
Navy Day,general,9,0.010344827586206896,1,1.3862943611198906,0.01434097614951611
Navy Day,congress,9,0.010344827586206896,1,1.3862943611198906,0.01434097614951611
The Eyes Have It,heart,4,0.010050251256281407,1,1.3862943611198906,0.013932606644421012
The Eyes Have It,arm,4,0.010050251256281407,1,1.3862943611198906,0.013932606644421012
Keep Out,teachers,4,0.008456659619450317,1,1.3862943611198906,0.011723419544354255
Keep Out,kill,4,0.008456659619450317,1,1.3862943611198906,0.011723419544354255
The Eyes Have It,species,3,0.007537688442211055,1,1.3862943611198906,0.010449454983315757
The Eyes Have It,incredible,3,0.007537688442211055,1,1.3862943611198906,0.010449454983315757
The Eyes Have It,knowledge,3,0.007537688442211055,1,1.3862943611198906,0.010449454983315757
The Eyes Have It,reference,3,0.007537688442211055,1,1.3862943611198906,0.010449454983315757
The Eyes Have It,obviously,3,0.007537688442211055,1,1.3862943611198906,0.010449454983315757
2 B R 0 2 B,triplets,7,0.007261410788381743,1,1.3862943611198906,0.01006645282970875
2 B R 0 2 B,leora,7,0.007261410788381743,1,1.3862943611198906,0.01006645282970875
Navy Day,admiral,6,0.006896551724137931,1,1.3862943611198906,0.009560650766344072
Keep Out,food,3,0.006342494714587738,1,1.3862943611198906,0.008792564658265691
Keep Out,glassite,3,0.006342494714587738,1,1.3862943611198906,0.008792564658265691
Keep Out,changing,3,0.006342494714587738,1,1.3862943611198906,0.008792564658265691
Keep Out,cold,3,0.006342494714587738,1,1.3862943611198906,0.008792564658265691
Keep Out,progeny,3,0.006342494714587738,1,1.3862943611198906,0.008792564658265691
Keep Out,earthmen,3,0.006342494714587738,1,1.3862943611198906,0.008792564658265691
Keep Out,spend,3,0.006342494714587738,1,1.3862943611198906,0.008792564658265691
Keep Out,temperature,3,0.006342494714587738,1,1.3862943611198906,0.008792564658265691
Keep Out,daptine,3,0.006342494714587738,1,1.3862943611198906,0.008792564658265691
Keep Out,live,6,0.012684989429175475,2,0.6931471805599453,0.008792564658265691
2 B R 0 2 B,mural,6,0.006224066390041493,1,1.3862943611198906,0.008628388139750356
2 B R 0 2 B,population,6,0.006224066390041493,1,1.3862943611198906,0.008628388139750356
2 B R 0 2 B,purple,6,0.006224066390041493,1,1.3862943611198906,0.008628388139750356
Navy Day,gentlemen,5,0.005747126436781609,1,1.3862943611198906,0.007967208971953394
Navy Day,forward,5,0.005747126436781609,1,1.3862943611198906,0.007967208971953394
Navy Day,wingrove,5,0.005747126436781609,1,1.3862943611198906,0.007967208971953394
Keep Out,tomorrow,5,0.010570824524312896,2,0.6931471805599453,0.007327137215221409
2 B R 0 2 B,old,10,0.01037344398340249,2,0.6931471805599453,0.007190323449791963
2 B R 0 2 B,thanks,5,0.005186721991701245,1,1.3862943611198906,0.007190323449791963
2 B R 0 2 B,garden,5,0.005186721991701245,1,1.3862943611198906,0.007190323449791963
2 B R 0 2 B,happy,10,0.01037344398340249,2,0.6931471805599453,0.007190323449791963
The Eyes Have It,leaped,2,0.005025125628140704,1,1.3862943611198906,0.006966303322210506
